	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
YGR070W							-1.136700607791985	-1.163769446762395
YGR072W								-1.2212983724848399
YGR074W						-1.2040015508461699		
YGR079W							1.22643980683698	1.14738843064859
YGR081C								1.0818865841810048
YGR085C							1.7785372052928052	
YGR086C	-1.22189806348559							-1.059199360091075
YGR088W	-1.720600126587595						-2.44851819229993	-2.695225883128635
YGR090W							1.1235044739985751	
YGR097W		1.6405972180215302	1.4422553058898548		1.35294693400401			
YGR108W			-1.0864824541973648			-1.5815327164590949		-1.47094971393449
YGR110W						-1.5889309929509698		
YGR118W							1.327119916623595	
YGR123C							2.2490527621857552	1.2312896266159201
YGR124W							1.3531103929877402	1.44992686343952
YGR130C							-1.432045738086145	-1.3582816507875148
YGR137W								1.018756397147575
YGR138C							1.88328961323582	1.99263864938496
YGR142W		1.8596585979223201	1.823261091292045	1.640403648707675	2.2711773960493504	2.5140788210471605	2.3224219492731004	2.3440322769136444
YGR143W							-1.047312596681535	-1.24689705023474
YGR146C	1.6295513394663899	2.349017147655335	2.2984534113987705	2.0471054376398348	1.72606039774775			
YGR149W						1.0881163844316148		
YGR154C								-1.14434616144712
YGR159C							3.263921691693895	1.9530687845384649
YGR161C		1.697912481976445	1.2931565757787098	1.22628113173685	1.0424820753644601			
YGR174C	-1.2751944909727149				-1.19983086815541		-1.0819777785392999	-1.15751245069116
YGR180C						1.020154051608535		-1.1684062397907
YGR183C				-1.1164483705193198	-1.2203961907049			
YGR185C							1.3243658197062	
YGR191W								1.0628502162299451
YGR192C								-1.26484490411924
YGR197C							1.06095087582702	
YGR198W							1.4221907712918047	1.699438836981145
YGR201C							-2.117208066926095	-2.07424041057932
YGR203W						-1.1148191262106453		
YGR204W							1.3814289119860852	
YGR208W							1.253568314023485	
YGR211W							1.7999676991165452	1.460295410804025
YGR212W					1.09937310075134	1.8428895232268299		
YGR213C		1.5983233856845849	1.5972197773857948	1.5708065407253051	1.93230073690569	2.846227218156025		
YGR214W							1.09737495445132	
YGR233C	1.05838573305868	1.1582662635171999	1.105576184188085	1.08320639642964	1.108017790658915			
YGR234W						1.6161893438829948	1.2625880355116799	1.233508564681435
YGR239C						-1.5249019326673952	1.841937962375805	2.25584230453782
YGR250C								1.6584446237979802
YGR254W	-2.5047210234881403							-1.607790292478925
YGR255C	-1.06353699355726							
YGR260W		1.2191014982612298	1.0451564104911402		1.2060188740694748			
YGR264C							1.33827108429723	
YGR266W							-1.5341357067381551	
YGR271W					1.06437099464276			
YGR285C							1.36209845662347	
YGR286C	-1.7368276962884002							
YGR287C					1.238664380545995	1.20953874708279	1.434380726633015	2.253338641114645
YGR289C						1.121842608857885		
YHL010C							-1.293529062597965	-1.3746956859272048
YHL015W							1.29100840861658	
YHL021C					1.291306068358875	1.1755713835699102		
YHL024W			1.034886894513055	1.116272948875475	1.133644533451805			
YHL026C						-1.284579215433415		
YHL030W		1.07440526624472	1.1988798177857598		1.15698255792371			
YHL033C							2.217281007487925	
YHL035C	1.362594019026025					-2.05746635447996		
YHL036W		1.29225279654365	1.2879243023752651	1.09185828385718	1.26417108930358			
YHL040C						-3.0419469533616645		
YHL047C						-3.781261281110885		1.026330722180575
YHL048W					1.190860651969635			
YHR001W-A		-1.4280836139403998	-1.428138954189515	-1.31345493789696				
YHR004C							-1.04752941506035	
YHR008C							-1.01430497013972	-1.2404688411104399
YHR010W							1.4583393348795002	
YHR015W				1.42136556555538	1.6155650264472152	1.0407708717622248	1.27853906496927	
YHR018C						-1.8318322347976947		
YHR020W							1.5116809533877649	
YHR021C			-1.06199503339766		-1.3025591625295352		1.569524780197455	
YHR022C					1.19213535159794			
YHR023W	1.059823173709245							
YHR029C						-2.11038309629779		
YHR030C		1.265146433810095						
YHR033W	-1.741635698770645							
YHR043C								1.4572131717627999
YHR044C							1.329411294325355	
YHR046C							2.6202193008713	2.352584333338765
YHR049W								1.442381495981115
YHR063C							1.139051877719965	
YHR065C							1.04388632668452	
YHR068W							1.69475221634423	1.2465843247601351
YHR071W	1.124058077959365	1.294766692091555	1.055830594545915					
YHR072W-A					-1.224751420529865			
YHR080C							-1.184331624400875	
YHR082C			1.133312767278005		1.3868778575488			
YHR085W							1.132251136523705	1.40112373344379
YHR092C						-1.3163514971127799	2.580797022163825	2.7921470050105803
YHR096C							-1.322218789487735	-1.682836197320515
YHR097C						1.02031966332019		
YHR106W							-1.1915284132591	-1.329850913864365
YHR128W							1.11737176810305	
YHR138C							-1.54233854684179	-1.10578586949334
YHR141C							1.217634237256715	
YHR147C					-1.0328457190856648			
YHR148W							1.0583459666143549	
YHR155W					1.3264127687382752			
YHR162W								1.14348245230086
YHR163W		-1.152117730241935	-1.0856581432112549					
YHR174W						1.14331882700735		-1.566186686195235
YHR175W						-1.11652016352472		
YHR175W-A	1.271496936792105							
YHR179W							2.2885151751404798	1.64573967456557
YHR183W							1.774274852711915	1.190367492919735
YHR194W								-1.258722605789405
YHR196W							1.3059216882993598	
YHR199C						-1.138847990931315		
YHR203C							1.30036777576862	
YHR208W							1.60490684447833	
YHR209W						1.21317939444019		
YHR210C							1.36068640380264	
YHR211W					1.6435828626874152			
YIL009W								-1.483064997149805
YIL011W							1.0480399272809602	
YIL017C							-1.37783219964566	-1.6726650974564898
YIL018W							1.4418861327812351	
YIL020C								1.272498133373085
YIL020C-A						-1.21741774842998		
YIL031W					1.397254798170225			
YIL037C						-1.157058044621985		
YIL042C						-1.1615906560935199		
YIL045W							-1.446499842433265	-1.35015629292739
YIL050W						-1.445898509433895		
YIL051C						-1.12230486623926		
YIL053W	-1.29073483267783						2.20973642151634	
YIL055C								-1.34626477726913
YIL056W							1.4480654541905098	
YIL067C							1.32126973250552	
YIL069C							1.1600446702229248	
YIL071C							-1.055784202131945	-1.0360262423083397
YIL074C							1.04943382228593	
YIL079C							1.591712360406325	
YIL087C						-1.2241487437022252		
YIL091C							1.292542210478815	
YIL097W							-1.031622367363755	
YIL101C							-1.937322812166495	-2.011960901289865
YIL110W							1.1611951930360551	1.10186089678413
YIL111W					-1.2454742670369652	-2.465251756006695		
YIL117C		1.547771966037485	1.379365079433835	1.2468081341082398	1.6642109838799901			
YIL118W							1.26754475258155	1.26083412837641
YIL121W						-2.477170566541295	1.2320229153881201	1.24425218729865
YIL124W	-1.4219138509429552	-1.05523125981567	-1.3426995800819301	-1.0554758888031999	-1.2119878401329949		-1.152902244400625	-1.6445085900964402
YIL130W							1.185020490535345	
YIL133C							1.65620991793543	
YIL136W							-1.4923722639786452	-1.151428869267435
YIL140W						1.14600810939422		
YIL148W							1.16592238122116	
YIL156W-B		-1.0858021031054652			-1.327283609818	-1.252571442640165		
YIL159W					1.09013437389783			
YIL160C								-2.5139319572186647
YIL162W							3.027158146867955	2.69298716423737
YIL164C						-2.332320983092285		
YIL165C						-2.56364169292449		
YIL169C								-1.134233845572095
YIR012W							1.8034205861244152	1.365895637925675
